videoid|title|description|keywords|creationyear|sound|color|duration|durationsec|sponsorname|contribName|language|genre|keyframeurl
398|Winning: Aerospace, Segment 06|Designed to introduce students to the unique career opportunities in America's aerospace industry. (Grades 7-12)|NASA;Space;|0|Yes|Yes|00:01:15|75|Aerospace Industries Association|Laura Slaughter|Spanish|Documentary|winn001006_00481.gif
839|Hurricane Force - A Coastal Perspective, segment 04 of 12|Formation and characteristics of a hurricane are presented|Hurricanes;|1994|Yes|Yes|00:02:57|177|United States Geological Survey|Informedia Project|English|Documentary|UGS10_004_02701.gif
4561|Drift Ice as a Geologic Agent, complete video|Authors Steve Wessells, Erk Reimnitz, Peter Barnes, and Ed Kempema use time-lapse film, animations, and drawings by Tau Rho Alpha to illustrate ice  gouging, ice wallow, frazil and slush ice, sediment entrainment, ice rafting, turbid ice, and river flooding of fast ice.  Included is unusual film of  strudel flow and scour which leave scour holes as deep as six meters on the ocean floor.|Ice;Geology;Ocean;|1993|Yes|Yes|00:19:43|1183|United States Geological Survey|Informedia Project|English|Documentary|UGS12_32041.gif
5674|[Amateur film: Wathen collection: Greenwich Village, New York Snowstorm, and Coney Island]|Amateur film made in Manhattan, New York City during World War II, showing a Greenwich Village street art exhibition, springtime at Coney Island, and Greenwich Village stilled by a snowstorm.|Amateur films; New York City: History; Weather: Blizzards;|1944|Yes|No|00:14:46|886|Wathen (R.W.)|Rick Prelinger|English|Ephemeral|Wathenco1944_00033000.gif
5194|Helping Johnny Remember|Surreal social guidance film showing the problems of a boy rejected by other children because he is selfish, uncooperative and domineering.|Social guidance;|1956|Yes|No|00:10:07|607|Portafilms|Rick Prelinger|English|Ephemeral|HelpingJ1956_00030000.gif
5104|The Plow That Broke The Plains (Part I)|"Classic drama which details the Great Plains during the Depression. With Cinematography by Leo Hurwitz, Ralph Steiner, Paul Ivano and Paul Strand. Selected for the 1999 National Film Registry of """"artistically, culturally, and socially significant"""" films."|Great Depression (1930s);|1936|Yes|No|00:22:55|1375|Pare Lorentz|Rick Prelinger|English|Ephemeral|PlowThatBrokethePlains1_00000032.gif
5927|Good Neighbor Family|"This relic of the """"Good Neighbor Policy"""" attempts to show the similarities between U.S. and Latin American families."|Regional: Brazil; Latin America; South America;|1943|Yes|No|00:16:49|1009|Bryan (Julien)|Rick Prelinger|English|Ephemeral|GoodNeig1943_00110000.gif
4025|Master Hands (Part II)|Classic 'capitalist realist' drama showing the manufacture of Chevrolets from foundry to finished vehicles. Though ostensibly a tribute to the 'master hands' of the assembly line workers, it seems more of a paean to the designers of this impressive mass production system. Filmed in Flint, Michigan, just months before the United Auto Workers won union recognition with their famous sitdown strikes.|Automobiles: Manufacturing;Labor: 1930s;Occupations: Automotive;|1936|Yes|No|00:06:47|407|Chevrolet Motor Company|Rick Prelinger|English|Ephemeral|07806b_06001.gif
4255|Round and Round (Widgets)|Highly simplified explanation of free-enterprise economics that fails to mention the idea of profit.|Economics;Animation: Stop-motion;Animation: Puppet;|1939|Yes|No|00:05:53|353|General Motors, Public Relations Staff|Rick Prelinger|English|Ephemeral|07886_09697.gif
4257|Safe Roads|Driving is compared with running a railroad train. With excellent images of steam-era passenger trains.|Infrastructure: Roads and highways;Safety: Automotive;|1935|Yes|No|00:07:37|457|Chevrolet Motor Company|Rick Prelinger|English|Ephemeral|07856_04561.gif
